industry_type,company_size,num_employees,electricity_kwh_per_month,renewable_energy_percent,diesel_litres_per_month,petrol_litres_per_month,natural_gas_m3_per_month,server_rack_count,num_servers_onprem,num_laptops,num_desktops,server_arrangement,server_area_sqft,cloud_provider,cloud_monthly_bill_inr,purchased_services_spend_inr_per_month,annual_revenue_inr_cr,electricity_level,scope1_tco2e_monthly,scope2_tco2e_monthly,scope3_tco2e_monthly,total_tco2e_monthly,scope1_pct,scope2_pct,scope3_pct,primary_recommendation,recommendation_priority,recommendation_label
IT,medium,350,8279.6,50.4,29.6,18.8,3.3,27,23,350,41,stacked_high_density,598.2,aws,28764.0,51626.0,118.15,high,0.1295,3.4376,4.6989,8.266,1.6,41.6,56.8,optimize_server_infrastructure,MEDIUM,2
Education,large,205,13362.1,42.5,1.1,2.6,2.0,8,12,205,59,hot_aisle_cold_aisle,218.4,azure,37282.0,68936.0,120.25,high,0.013,6.3144,4.236,10.5634,0.1,59.8,40.1,hybrid_work_policy,MEDIUM,9
IT,medium,212,5975.0,72.5,0.6,12.8,4.4,0,0,212,10,hot_aisle_cold_aisle,279.6,none,19500.0,17693.0,20.26,medium,0.0402,1.3474,2.0846,3.4721,1.2,38.8,60.0,low_emission_maintain_practices,LOW,7
Finance,medium,31,19015.8,6.1,8.2,29.5,2.4,2,5,31,10,hot_aisle_cold_aisle,323.9,none,11593.0,38353.0,4.12,very_high,0.095,14.6453,0.8163,15.5567,0.6,94.1,5.2,switch_to_renewables,HIGH,0
IT,medium,116,6911.4,33.7,47.3,3.5,5.2,24,25,116,65,stacked_high_density,945.5,none,7350.0,15940.0,21.9,medium,0.1455,3.8198,2.7622,6.7275,2.2,56.8,41.1,optimize_server_infrastructure,MEDIUM,2
Data Centre,large,146,79472.2,25.6,21.0,10.0,5.7,22,30,146,247,custom,1440.9,azure,23439.0,91046.0,16.16,very_high,0.091,48.5286,8.7219,57.3415,0.2,84.6,15.2,reduce_electricity_consumption,HIGH,1
IT,medium,143,11610.1,16.2,26.3,26.3,5.9,45,40,143,72,stacked_high_density,986.0,none,21014.0,53270.0,34.75,high,0.1433,8.0949,3.4595,11.6977,1.2,69.2,29.6,optimize_server_infrastructure,MEDIUM,2
Finance,medium,350,3631.2,49.3,20.1,1.1,3.9,4,2,350,37,hot_aisle_cold_aisle,240.4,none,25089.0,89207.0,22.66,medium,0.0644,1.5167,4.4625,6.0435,1.1,25.1,73.8,reduce_scope3_purchases,LOW,8
Manufacturing,large,916,40616.9,29.8,75.2,26.6,7.6,27,34,916,171,custom,546.8,azure,11068.0,189083.0,379.38,very_high,0.2785,23.4349,13.4312,37.1446,0.7,63.1,36.2,reduce_electricity_consumption,HIGH,1
Retail,medium,332,2041.6,32.4,0.0,18.6,2.3,2,12,332,43,hot_aisle_cold_aisle,320.8,gcp,31439.0,213912.0,89.47,low,0.0477,1.1352,5.7589,6.9418,0.7,16.4,83.0,reduce_scope3_purchases,LOW,8
Healthcare,medium,211,13639.3,39.9,37.4,1.4,2.5,59,34,211,58,stacked_high_density,1537.0,none,20138.0,16612.0,76.44,high,0.1086,6.875,3.3352,10.3188,1.1,66.6,32.3,optimize_server_infrastructure,MEDIUM,2
IT,medium,196,2578.4,37.9,8.2,15.5,2.8,7,13,196,20,stacked_high_density,152.0,gcp,16614.0,31751.0,52.16,low,0.0635,1.3312,2.4839,3.8785,1.6,34.3,64.0,improve_cooling_efficiency,LOW,6
Finance,medium,118,11614.1,19.9,6.9,19.1,2.4,12,41,118,12,hot_aisle_cold_aisle,1112.9,none,4528.0,50268.0,20.11,high,0.0675,7.6496,1.6535,9.3706,0.7,81.6,17.6,adopt_cloud_migration,MEDIUM,4
Retail,medium,387,4761.2,24.0,1.2,1.4,0.2,2,9,387,28,hot_aisle_cold_aisle,257.1,gcp,14877.0,201501.0,59.62,medium,0.0069,2.9707,5.5501,8.5277,0.1,34.8,65.1,reduce_scope3_purchases,LOW,8
Retail,large,498,5843.7,55.3,12.2,11.4,2.9,6,11,498,59,hot_aisle_cold_aisle,242.4,gcp,27922.0,198416.0,68.65,medium,0.0649,2.1526,7.3404,9.5579,0.7,22.5,76.8,reduce_scope3_purchases,LOW,8
IT,medium,269,9596.4,32.7,25.0,8.2,1.4,2,6,269,48,hot_aisle_cold_aisle,155.7,azure,219361.0,66291.0,141.65,high,0.0888,5.2994,6.8894,12.2776,0.7,43.2,56.1,reduce_cloud_carbon,MEDIUM,5
Finance,medium,56,7462.8,35.7,2.9,19.8,3.5,17,62,56,36,hot_aisle_cold_aisle,1634.5,none,3808.0,18967.0,3.68,medium,0.0607,3.9649,1.5457,5.5713,1.1,71.2,27.7,adopt_cloud_migration,MEDIUM,4
IT,large,347,8426.2,2.5,11.2,22.1,6.8,8,2,347,18,hot_aisle_cold_aisle,268.8,gcp,4685.0,26286.0,111.36,high,0.0949,6.7509,3.4759,10.3217,0.9,65.4,33.7,switch_to_renewables,HIGH,0
IT,medium,61,8238.8,32.3,18.5,15.8,5.9,48,31,61,60,stacked_high_density,1797.1,none,19094.0,59826.0,17.76,high,0.0981,4.6984,2.5457,7.3422,1.3,64.0,34.7,optimize_server_infrastructure,MEDIUM,2
Retail,medium,261,2399.2,38.5,13.8,5.0,3.4,2,9,261,30,hot_aisle_cold_aisle,178.2,none,1167.0,206545.0,42.93,low,0.0555,1.2135,4.5115,5.7804,1.0,21.0,78.0,reduce_scope3_purchases,LOW,8
Retail,medium,195,14023.5,6.9,36.0,19.3,6.9,9,15,195,6,hot_aisle_cold_aisle,482.9,none,27904.0,25741.0,95.12,high,0.1551,10.7218,1.9087,12.7856,1.2,83.9,14.9,switch_to_renewables,HIGH,0
Retail,medium,179,13515.2,8.5,29.8,26.5,1.6,9,1,179,21,hot_aisle_cold_aisle,132.6,none,33097.0,43996.0,44.56,high,0.1443,10.1564,2.324,12.6248,1.1,80.4,18.4,switch_to_renewables,HIGH,0
Retail,medium,228,6178.3,15.8,1047.5,178.4,6.0,5,8,12,8,hot_aisle_cold_aisle,82.9,aws,8445.0,5733.0,50.63,medium,3.2316,4.2746,0.4788,7.985,40.5,53.5,6.0,electrify_fleet_reduce_fuel,HIGH,3
IT,medium,240,5577.4,57.6,17.5,19.4,2.2,1,3,240,58,hot_aisle_cold_aisle,289.1,gcp,29679.0,275029.0,63.35,medium,0.0962,1.9409,5.8993,7.9365,1.2,24.5,74.3,reduce_scope3_purchases,LOW,8
Finance,small,81,4593.6,13.6,1.4,5.0,0.7,9,8,81,6,stacked_high_density,200.8,none,10969.0,17477.0,14.87,medium,0.0167,3.2779,0.9397,4.2343,0.4,77.4,22.2,improve_cooling_efficiency,LOW,6
Education,medium,448,5513.4,88.8,0.9,13.4,3.9,2,9,448,9,hot_aisle_cold_aisle,169.0,gcp,15582.0,9680.0,137.6,medium,0.0413,0.5099,4.0034,4.5547,0.9,11.2,87.9,low_emission_maintain_practices,LOW,7
IT,large,308,7901.2,68.2,26.7,18.6,1.6,1,9,308,59,hot_aisle_cold_aisle,120.3,gcp,10450.0,154446.0,57.7,medium,0.1178,2.0621,5.3266,7.5065,1.6,27.5,71.0,reduce_scope3_purchases,LOW,8
Retail,large,496,11469.2,35.5,1.0,6.6,3.1,9,4,496,26,hot_aisle_cold_aisle,374.3,azure,276286.0,57369.0,84.31,high,0.0242,6.082,8.8035,14.9098,0.2,40.8,59.0,reduce_cloud_carbon,MEDIUM,5
Finance,medium,406,3412.5,80.4,16.7,3.0,2.8,2,10,406,11,hot_aisle_cold_aisle,262.7,gcp,11264.0,6281.0,78.96,medium,0.0574,0.552,3.6575,4.2669,1.3,12.9,85.7,low_emission_maintain_practices,LOW,7
Finance,medium,912,13200.4,34.1,16.5,12.3,1.3,10,6,912,41,hot_aisle_cold_aisle,294.3,gcp,27350.0,22330.0,136.54,high,0.0753,7.1509,8.7302,15.9565,0.5,44.8,54.7,hybrid_work_policy,MEDIUM,9
IT,large,617,24743.8,26.8,56.7,2.7,15.0,22,39,617,215,hot_aisle_cold_aisle,794.1,aws,32562.0,79613.0,312.46,very_high,0.1888,14.8912,11.688,26.768,0.7,55.6,43.7,reduce_electricity_consumption,HIGH,1
Retail,large,484,4015.4,48.4,14.1,16.6,2.2,9,6,484,94,hot_aisle_cold_aisle,159.8,azure,126270.0,70885.0,292.14,medium,0.0806,1.7149,8.5866,10.3822,0.8,16.5,82.7,reduce_cloud_carbon,MEDIUM,5
Manufacturing,large,1365,38132.1,24.9,18.8,1.0,1.0,22,11,1365,97,hot_aisle_cold_aisle,779.6,aws,74368.0,159066.0,358.95,very_high,0.0547,23.5215,15.7596,39.3359,0.1,59.8,40.1,reduce_electricity_consumption,HIGH,1
Logistics,small,125,1835.7,5.3,1387.4,231.1,3.7,1,1,72,43,hot_aisle_cold_aisle,103.8,aws,8303.0,12361.0,9.09,low,4.2596,1.4273,1.9289,7.6158,55.9,18.7,25.3,electrify_fleet_reduce_fuel,HIGH,3
Data Centre,large,718,40833.4,22.4,46.3,1.3,0.0,13,29,718,294,custom,511.1,gcp,90342.0,112574.0,319.02,very_high,0.1271,26.0092,15.1618,41.2981,0.3,63.0,36.7,reduce_electricity_consumption,HIGH,1
Manufacturing,small,38,5354.6,20.5,1148.6,66.4,5.6,3,10,34,12,hot_aisle_cold_aisle,113.8,aws,4534.0,25078.0,9.42,medium,3.2431,3.496,0.8547,7.5937,42.7,46.0,11.3,electrify_fleet_reduce_fuel,HIGH,3
Healthcare,medium,178,3660.9,34.7,13.6,4.9,2.7,25,55,178,34,custom,934.1,none,2037.0,22410.0,52.7,medium,0.0533,2.0104,2.4866,4.5504,1.2,44.2,54.6,adopt_cloud_migration,MEDIUM,4
IT,medium,287,10240.8,36.6,48.1,8.2,2.1,22,37,287,66,stacked_high_density,477.2,none,12054.0,12249.0,100.94,high,0.1521,5.3811,4.1134,9.6467,1.6,55.8,42.6,optimize_server_infrastructure,MEDIUM,2
IT,medium,249,5828.4,37.3,29.5,8.2,0.6,25,47,249,42,custom,1057.4,none,1695.0,22735.0,50.48,medium,0.0992,3.0468,3.2628,6.4088,1.5,47.5,50.9,adopt_cloud_migration,MEDIUM,4
Healthcare,medium,292,4390.1,28.9,36.8,1.6,7.3,30,26,292,41,stacked_high_density,1006.9,none,21204.0,19155.0,115.39,medium,0.1172,2.6374,3.5483,6.3029,1.9,41.8,56.3,optimize_server_infrastructure,MEDIUM,2
Retail,large,270,10165.1,67.6,28.0,9.0,1.7,7,11,270,63,hot_aisle_cold_aisle,229.6,azure,100022.0,33709.0,129.59,high,0.0993,2.7131,5.4216,8.2339,1.2,32.9,65.8,reduce_cloud_carbon,MEDIUM,5
Retail,medium,229,5725.9,67.3,21.9,12.6,1.1,3,1,229,51,hot_aisle_cold_aisle,192.1,none,6038.0,229433.0,45.0,medium,0.09,1.5407,4.9955,6.6262,1.4,23.3,75.4,reduce_scope3_purchases,LOW,8
Education,medium,21,5718.3,73.7,3.5,0.5,1.9,1,5,21,13,direct_liquid_cooling,182.5,none,18746.0,8548.0,1.44,medium,0.0144,1.2346,0.5779,1.8269,0.8,67.6,31.6,low_emission_maintain_practices,LOW,7
IT,medium,131,9628.0,17.7,9.2,8.0,0.3,7,9,131,37,stacked_high_density,188.6,none,26807.0,29046.0,8.88,high,0.0437,6.5157,2.2467,8.8062,0.5,74.0,25.5,improve_cooling_efficiency,LOW,6
Finance,medium,370,2304.8,40.2,23.4,14.9,4.6,1,13,370,53,hot_aisle_cold_aisle,358.4,none,7747.0,69823.0,67.51,low,0.1065,1.132,4.8882,6.1267,1.7,18.5,79.8,reduce_scope3_purchases,LOW,8
Finance,medium,350,767.8,93.4,8.4,6.6,0.6,0,6,350,0,hot_aisle_cold_aisle,93.4,gcp,10069.0,27702.0,42.26,low,0.039,0.0416,3.0842,3.1648,1.2,1.3,97.5,low_emission_maintain_practices,LOW,7
IT,large,1614,35659.9,24.8,14.8,41.6,5.8,15,17,1614,128,custom,1101.0,azure,28811.0,130701.0,391.65,very_high,0.1476,22.0194,17.5966,39.7637,0.4,55.4,44.3,reduce_electricity_consumption,HIGH,1
IT,medium,876,10723.3,31.6,10.9,2.3,4.2,7,17,876,47,hot_aisle_cold_aisle,559.5,azure,24752.0,36349.0,160.23,high,0.0431,6.0269,8.8037,14.8736,0.3,40.5,59.2,hybrid_work_policy,MEDIUM,9
Education,medium,788,14344.9,34.5,20.8,5.6,3.3,4,13,788,37,hot_aisle_cold_aisle,355.2,aws,59643.0,39329.0,188.98,high,0.0754,7.7117,8.427,16.2142,0.5,47.6,52.0,hybrid_work_policy,MEDIUM,9
Finance,medium,285,4969.0,45.6,26.3,14.5,9.6,54,30,285,44,stacked_high_density,1707.7,aws,6216.0,54744.0,59.34,medium,0.1236,2.3569,3.95,6.4304,1.9,36.7,61.4,optimize_server_infrastructure,MEDIUM,2
Healthcare,medium,181,4388.4,26.9,36.9,0.3,2.0,12,59,181,33,custom,909.0,none,1872.0,19952.0,9.33,medium,0.1037,2.6546,2.4643,5.2226,2.0,50.8,47.2,adopt_cloud_migration,MEDIUM,4
Finance,medium,80,5868.2,59.0,13.3,2.9,3.8,8,4,80,10,hot_aisle_cold_aisle,337.5,azure,215708.0,54769.0,60.42,medium,0.0501,1.9871,4.2478,6.285,0.8,31.6,67.6,reduce_cloud_carbon,MEDIUM,5
Logistics,medium,165,4305.5,23.0,1414.7,190.3,19.2,1,1,85,14,hot_aisle_cold_aisle,65.4,none,5600.0,14203.0,12.47,medium,4.2702,2.7203,1.1564,8.1468,52.4,33.4,14.2,electrify_fleet_reduce_fuel,HIGH,3
Education,medium,172,3185.5,77.0,6.3,13.7,3.1,6,2,172,13,hot_aisle_cold_aisle,91.0,none,6553.0,29082.0,65.66,medium,0.0549,0.6114,1.9381,2.6044,2.1,23.5,74.4,low_emission_maintain_practices,LOW,7
Retail,small,90,6396.1,22.0,1429.2,131.3,7.5,4,10,70,48,hot_aisle_cold_aisle,63.6,aws,454.0,26047.0,22.27,medium,4.1489,4.098,2.0368,10.2837,40.3,39.8,19.8,electrify_fleet_reduce_fuel,HIGH,3
Manufacturing,medium,178,4682.8,0.3,1270.8,144.3,25.3,1,7,42,43,hot_aisle_cold_aisle,51.6,aws,836.0,31849.0,14.64,medium,3.7907,3.8301,1.7352,9.356,40.5,40.9,18.5,electrify_fleet_reduce_fuel,HIGH,3
Finance,medium,36,9205.5,2.1,33.4,6.4,1.3,9,15,36,7,hot_aisle_cold_aisle,413.8,none,9520.0,16785.0,8.78,high,0.1069,7.4059,0.6042,8.1171,1.3,91.2,7.4,switch_to_renewables,HIGH,0
Finance,medium,41,4985.6,11.2,26.4,11.5,0.9,42,18,41,79,stacked_high_density,981.3,aws,5480.0,48415.0,4.26,medium,0.0992,3.7394,2.8798,6.7184,1.5,55.7,42.9,optimize_server_infrastructure,MEDIUM,2
Finance,medium,30,8551.6,19.1,31.9,10.3,2.9,16,35,30,29,custom,871.4,none,3023.0,36264.0,10.84,high,0.1152,5.7051,1.2933,7.1136,1.6,80.2,18.2,adopt_cloud_migration,MEDIUM,4
Manufacturing,large,820,66180.3,32.5,73.8,22.7,0.5,6,21,820,211,custom,1644.7,aws,10277.0,80011.0,257.38,very_high,0.2512,36.6428,12.859,49.7531,0.5,73.6,25.8,reduce_electricity_consumption,HIGH,1
Finance,medium,172,10022.1,34.1,33.4,0.7,7.8,25,46,172,44,hot_aisle_cold_aisle,870.7,none,2136.0,25236.0,59.56,high,0.107,5.46,2.7257,8.2928,1.3,65.8,32.9,adopt_cloud_migration,MEDIUM,4
Manufacturing,medium,160,3020.2,20.9,485.4,268.8,13.2,1,2,11,23,hot_aisle_cold_aisle,86.6,none,17151.0,21915.0,25.56,medium,1.9487,1.9607,0.8696,4.7791,40.8,41.0,18.2,electrify_fleet_reduce_fuel,HIGH,3
Manufacturing,large,695,76866.0,23.9,33.8,44.4,19.9,15,41,695,141,hot_aisle_cold_aisle,580.3,azure,11721.0,83648.0,548.64,very_high,0.2337,47.9925,10.0542,58.2805,0.4,82.3,17.3,reduce_electricity_consumption,HIGH,1
Healthcare,medium,417,11958.4,27.0,4.3,25.4,4.3,50,37,417,63,stacked_high_density,1209.6,none,25588.0,11505.0,41.13,high,0.079,7.2882,5.0579,12.425,0.6,58.7,40.7,optimize_server_infrastructure,MEDIUM,2
IT,large,432,9283.0,22.6,0.7,4.6,3.1,2,2,432,47,hot_aisle_cold_aisle,235.8,aws,409669.0,23515.0,238.28,high,0.0188,5.8953,10.9954,16.9095,0.1,34.9,65.0,reduce_cloud_carbon,MEDIUM,5
IT,medium,951,11338.2,54.9,8.1,1.3,4.6,7,12,951,66,hot_aisle_cold_aisle,103.5,aws,262799.0,25380.0,188.71,high,0.0341,4.2055,13.4193,17.6589,0.2,23.8,76.0,reduce_cloud_carbon,MEDIUM,5
Data Centre,large,238,60302.2,28.8,18.4,42.0,2.9,5,30,238,275,custom,1934.0,azure,49870.0,190065.0,172.76,very_high,0.1522,35.2169,11.3387,46.7078,0.3,75.4,24.3,reduce_electricity_consumption,HIGH,1
IT,medium,78,24400.3,1.0,1.3,9.4,6.8,6,12,78,30,hot_aisle_cold_aisle,386.0,gcp,29605.0,68140.0,12.42,very_high,0.0391,19.8188,2.2213,22.0792,0.2,89.8,10.1,switch_to_renewables,HIGH,0
IT,medium,748,10450.9,26.2,2.3,18.6,4.9,8,15,748,33,hot_aisle_cold_aisle,461.5,aws,60330.0,31649.0,191.63,high,0.0591,6.3386,7.9535,14.3513,0.4,44.2,55.4,hybrid_work_policy,MEDIUM,9
Finance,medium,167,5433.8,47.8,1.6,3.2,2.2,26,63,167,36,custom,1204.2,none,937.0,45721.0,8.92,medium,0.0162,2.3781,2.6388,5.0331,0.3,47.2,52.4,adopt_cloud_migration,MEDIUM,4
Finance,medium,34,5982.6,22.8,3.4,16.9,6.9,14,74,34,34,hot_aisle_cold_aisle,2125.5,none,2212.0,31821.0,9.91,medium,0.0622,3.812,1.4214,5.2957,1.2,72.0,26.8,adopt_cloud_migration,MEDIUM,4
Finance,medium,159,18282.5,6.5,10.2,19.0,2.6,7,8,159,28,hot_aisle_cold_aisle,463.3,gcp,4615.0,39650.0,27.75,very_high,0.0765,14.0296,2.3572,16.4633,0.5,85.2,14.3,switch_to_renewables,HIGH,0
Finance,medium,435,6458.9,24.9,16.4,14.8,4.8,6,11,435,12,hot_aisle_cold_aisle,266.8,none,22855.0,216143.0,42.97,medium,0.0879,3.9881,5.4911,9.5672,0.9,41.7,57.4,reduce_scope3_purchases,LOW,8
IT,medium,422,10910.9,43.3,47.6,20.1,6.7,38,32,422,72,stacked_high_density,828.7,none,26158.0,56589.0,134.29,high,0.1877,5.1716,5.6958,11.055,1.7,46.8,51.5,optimize_server_infrastructure,MEDIUM,2
Healthcare,medium,325,3698.6,54.6,20.9,14.2,4.9,41,35,325,54,stacked_high_density,1187.6,none,624.0,24401.0,38.11,medium,0.0988,1.4834,4.1948,5.777,1.7,25.7,72.6,optimize_server_infrastructure,MEDIUM,2
IT,medium,352,3451.4,58.4,44.2,24.5,1.9,59,29,352,22,stacked_high_density,1268.4,none,9044.0,33710.0,111.35,medium,0.1789,1.3306,3.6383,5.1479,3.5,25.8,70.7,optimize_server_infrastructure,MEDIUM,2
IT,medium,106,4455.3,11.9,49.5,27.9,4.3,35,34,106,35,stacked_high_density,763.7,aws,11411.0,36249.0,31.28,medium,0.2059,3.3095,2.2247,5.7401,3.6,57.7,38.8,optimize_server_infrastructure,MEDIUM,2
Manufacturing,large,765,37198.2,28.4,89.2,14.9,3.0,29,25,765,280,hot_aisle_cold_aisle,1669.2,gcp,46369.0,97938.0,151.43,very_high,0.2796,21.8912,14.6516,36.8224,0.8,59.5,39.8,reduce_electricity_consumption,HIGH,1
IT,medium,435,8966.1,50.9,42.6,2.5,1.4,21,39,435,66,stacked_high_density,762.5,none,9953.0,17726.0,30.26,high,0.1228,3.6645,5.3294,9.1167,1.3,40.2,58.5,optimize_server_infrastructure,MEDIUM,2
Finance,medium,194,22965.6,6.3,13.8,0.3,9.5,1,7,194,23,hot_aisle_cold_aisle,262.6,gcp,34530.0,55213.0,52.55,very_high,0.0571,17.6472,2.8962,20.6004,0.3,85.7,14.1,switch_to_renewables,HIGH,0
Education,medium,714,14838.7,32.7,8.9,7.9,2.5,14,12,714,42,hot_aisle_cold_aisle,534.0,gcp,75915.0,23360.0,398.19,high,0.0472,8.2137,7.6338,15.8947,0.3,51.7,48.0,hybrid_work_policy,MEDIUM,9
IT,small,157,5542.1,99.0,11.9,4.6,3.4,8,6,157,15,direct_liquid_cooling,269.5,gcp,8848.0,26419.0,33.81,medium,0.0495,0.0568,1.9304,2.0367,2.4,2.8,94.8,low_emission_maintain_practices,LOW,7
Manufacturing,large,290,65493.0,24.5,48.3,1.5,18.8,10,48,290,277,custom,567.1,aws,39799.0,196160.0,112.08,very_high,0.1713,40.5668,11.7759,52.5139,0.3,77.2,22.4,reduce_electricity_consumption,HIGH,1
Finance,medium,247,5269.0,84.2,19.0,3.0,2.5,5,3,247,15,hot_aisle_cold_aisle,182.5,gcp,6037.0,27073.0,16.08,medium,0.0629,0.6915,2.6232,3.3776,1.9,20.5,77.7,low_emission_maintain_practices,LOW,7
Education,medium,296,788.4,89.2,11.4,12.0,1.0,4,5,296,2,hot_aisle_cold_aisle,287.8,gcp,15561.0,8799.0,29.4,low,0.0603,0.0769,2.6076,2.7448,2.2,2.8,95.0,low_emission_maintain_practices,LOW,7
Finance,large,721,11040.8,20.1,19.0,5.7,3.6,1,14,721,84,hot_aisle_cold_aisle,262.8,azure,308239.0,74043.0,253.23,high,0.0714,7.2355,12.6815,19.9884,0.4,36.2,63.4,reduce_cloud_carbon,MEDIUM,5
Finance,medium,152,6700.0,27.9,15.0,11.5,6.0,19,48,152,47,custom,1341.5,none,2159.0,17413.0,10.46,medium,0.079,3.9993,2.5839,6.6623,1.2,60.0,38.8,adopt_cloud_migration,MEDIUM,4
Finance,medium,32,6721.8,13.0,30.3,1.4,4.7,11,75,32,54,custom,1226.1,none,3475.0,58051.0,3.46,medium,0.094,4.8174,2.1434,7.0549,1.3,68.3,30.4,adopt_cloud_migration,MEDIUM,4
Finance,medium,204,3490.1,41.2,8.0,16.8,4.2,5,6,204,55,hot_aisle_cold_aisle,146.8,none,12807.0,262587.0,62.5,medium,0.0688,1.6916,5.1684,6.9288,1.0,24.4,74.6,reduce_scope3_purchases,LOW,8
Finance,medium,245,13825.4,52.6,26.4,4.5,3.7,9,7,245,30,hot_aisle_cold_aisle,273.6,aws,42813.0,21961.0,127.76,high,0.0887,5.3896,3.5503,9.0286,1.0,59.7,39.3,hybrid_work_policy,MEDIUM,9
Finance,small,153,8155.4,47.0,29.2,7.0,4.0,9,6,153,31,stacked_high_density,216.8,gcp,5450.0,32282.0,28.1,high,0.1026,3.5677,2.3375,6.0078,1.7,59.4,38.9,improve_cooling_efficiency,LOW,6
Logistics,small,120,5094.6,21.6,911.7,184.7,22.7,0,4,52,6,hot_aisle_cold_aisle,111.1,none,9490.0,35738.0,33.87,medium,2.9163,3.2752,0.8561,7.0477,41.4,46.5,12.1,electrify_fleet_reduce_fuel,HIGH,3
IT,medium,233,7416.7,13.2,17.1,18.1,2.1,48,38,233,70,stacked_high_density,1069.8,none,1148.0,17787.0,49.98,medium,0.0919,5.4036,3.8357,9.3312,1.0,57.9,41.1,optimize_server_infrastructure,MEDIUM,2
Retail,small,117,1012.8,10.9,816.3,223.4,26.8,1,5,38,13,hot_aisle_cold_aisle,84.0,aws,1742.0,17250.0,6.87,low,2.7584,0.7417,0.8083,4.3084,64.0,17.2,18.8,electrify_fleet_reduce_fuel,HIGH,3
Finance,medium,380,11559.7,23.2,26.6,10.5,4.0,20,63,380,58,custom,1784.6,none,1760.0,59560.0,41.9,high,0.1037,7.32,5.0173,12.441,0.8,58.8,40.3,adopt_cloud_migration,MEDIUM,4
IT,large,297,12830.2,24.1,21.5,16.4,2.2,2,9,297,95,hot_aisle_cold_aisle,400.2,aws,79624.0,28766.0,111.52,high,0.1,7.9888,6.2847,14.3735,0.7,55.6,43.7,hybrid_work_policy,MEDIUM,9
IT,medium,204,11190.8,15.8,18.4,25.6,9.5,58,33,204,10,stacked_high_density,1520.5,aws,25414.0,58992.0,33.02,high,0.1278,7.8772,2.7328,10.7379,1.2,73.4,25.5,optimize_server_infrastructure,MEDIUM,2
Retail,medium,234,20708.0,4.9,30.2,6.6,2.2,6,15,234,0,hot_aisle_cold_aisle,255.5,none,36209.0,68835.0,108.53,very_high,0.1007,16.1591,2.404,18.6638,0.5,86.6,12.9,switch_to_renewables,HIGH,0
